ID;URL;NOME FILE;NOME ATTUALE;TESTO ALT;TESTO NEL TAG;FORMATO;STATUS
62;https://www.ansa.it/sito/img/sprite_mobile.png?20140930;sprite_mobile.png?20140930;62.png;fromCss;;.png;200
63;https://www.ansa.it/sito/notizie/topnews/2021/04/13/morti-in-corsia-confermato-lergastolo-per-cazzaniga_e1fa8ac1-a6da-413e-88b9-8c6a3967983e.html;morti-in-corsia-confermato-lergastolo-per-cazzaniga_e1fa8ac1-a6da-413e-88b9-8c6a3967983e.html;;;Morti in corsia: confermato l'ergastolo per Cazzaniga;;
64;https://www.ansa.it/sito/img/ico_screen.png;ico_screen.png;64.png;fromCss;;.png;200
65;https://www.ansa.it/canale_ambiente/notizie/acqua/index.shtml;index.shtml;;;Acqua;;
66;https://www.ansa.it/sito/img/bk_xbig.png;bk_xbig.png;66.png;fromCss;;.png;200
67;https://www.ansa.it/sito/img/ico_mm_photo_67x67.png;ico_mm_photo_67x67.png;67.png;fromCss;;.png;200
68;https://www.ansa.it/osservatorio_intelligenza_artificiale/notizie/giornalismo_editoria/index.shtml;index.shtml;;;Giornalismo ed editoria;;
69;https://www.ansa.it/sito/css/style_menu_top.css?v00;style_menu_top.css?v00;69.jpg;;;.jpg;200
70;https://www.ansa.it/canale_scienza_tecnica/notizie/biotech/index.shtml;index.shtml;;;Biotech;;
71;https://www.ansa.it/sito/img/arrow_white_15x9_up.png;arrow_white_15x9_up.png;71.png;fromCss;;.png;200
72;https://www.ansa.it/ricerca/ansait/search.shtml?temicaldi=Filippo+Harry;search.shtml?temicaldi=Filippo+Harry;72.jpg;;Filippo Harry;.jpg;200
73;https://www.ansa.it/sito/img/dot_3x1_orange.png;dot_3x1_orange.png;73.png;fromCss;;.png;200
74;https://www.ansa.it/sito/img/arrow_box_office_up_25x25.png;arrow_box_office_up_25x25.png;74.png;fromCss;;.png;200
75;https://www.ansa.it/canale_terraegusto/notizie/agrimercati/index.shtml;index.shtml;;;Agrimercati;;
76;https://www.ansa.it/sito/img/ico_gray_video_152x152.png;ico_gray_video_152x152.png;76.png;fromCss;;.png;200
77;https://www.ansa.it/canale_terraegusto/;;;;Terra & Gusto;;
78;https://www.ansa.it/sito/img/menu_top/cd-nav-icons.svg;cd-nav-icons.svg;78.svg;fromCss;;.svg;200
79;https://www.ansa.it/ricerca/ansait/search.shtml?temicaldi=Francesco+Molinari;search.shtml?temicaldi=Francesco+Molinari;79.jpg;;Francesco Molinari;.jpg;200
80;https://www.ansa.it/sito/img/dot_5x1_gray.png;dot_5x1_gray.png;80.png;fromCss;;.png;200
81;https://www.ansa.it/sito/img/bk_logo_int_edition_blue.png;bk_logo_int_edition_blue.png;81.png;fromCss;;.png;200
82;https://www.ansa.it/canale_legalita_scuola/notizie/speciali_eventi/index.shtml;index.shtml;;;Speciali ed eventi;;
83;https://www.ansa.it/sito/img/line-patterns.png;line-patterns.png;83.png;fromCss;;.png;200
84;https://www.ansa.it/sito/img/bk_social_container.png;bk_social_container.png;84.png;fromCss;;.png;200
85;https://www.ansa.it/sito/img/bk_green.png;bk_green.png;85.png;fromCss;;.png;200
86;https://embed.dugout.com/v3.1/ansa.js;ansa.js;;;;;
87;https://www.ansa.it/canale_lifestyle/notizie/beauty_fitness/2021/03/05/ligiene-orale-cambia-tra-apparecchi-smart-con-le-app-e-spazzolini-eco-in-bambu_72cf3221-4d95-462c-86d0-0b75e7e7e5ac.html;ligiene-orale-cambia-tra-apparecchi-smart-con-le-app-e-spazzolini-eco-in-bambu_72cf3221-4d95-462c-86d0-0b75e7e7e5ac.html;;;;;
88;https://www.ansa.it/ricerca/ansait/search.shtml?temicaldi=Will+Zalatoris;search.shtml?temicaldi=Will+Zalatoris;88.jpg;;Will Zalatoris;.jpg;200
89;https://www.ansa.it/codici-sconto/;;;;Codici Sconto;;
