ID;TAG NAME;URL;NOME FILE;NOME ATTUALE;TESTO ALT;HREF;TESTO NEL TAG;FORMATO;STATUS
323;li;;;;;;MUST HAVE;;
324;a;;;;;https://www.zara.com/it/it/kids-babygirl-jeans-new-fits-l4254.html;NEW FITS;;
325;a;;;;;https://www.zara.com/it/it/bambini-bambina-neonata-basic-l101.html;BASICS;;
326;ul;;;;;;Vedi TuttoMaglietteLeggings | PantaloniFELPEMaglieGONNE | SHORTSAccessori | UnderwearScarpe | Borse;;
327;a;;;;;https://www.zara.com/it/it/woman-trend-36-l2380.html;MUST HAVE;;
328;script;https://static.zara.net/stdstatic/1.215.0-b.57/js/v2/bundles/catalog-category-products-category-bundle~catalog-home-bundle~catalog-join-life-detail-bundle~catalo~d393259b.js;catalog-category-products-category-bundle~catalog-home-bundle~catalog-join-life-detail-bundle~catalo~d393259b.js;;;;;;
329;;https://www.zara.com/it/it/bambini-bambina-vestiti-l360.html/static/media/NeueHelveticaforZara-BoldCn.25f32f8e.woff2;NeueHelveticaforZara-BoldCn.25f32f8e.woff2;;;;;;403
330;img;https://static.zara.net/photos///2021/V/0/3/p/1260/381/093/102/w/262/1260381093_15_1_1.jpg?ts=1616762829863;1260381093_15_1_1.jpg?ts=1616762829863;;TUTA A QUADRI VICHY;;;.jpg;200
331;;https://www.zara.com/it/it/bambini-bambina-vestiti-l360.html/static/media/NeueHelveticaforZara-Bold.898db49a.woff;NeueHelveticaforZara-Bold.898db49a.woff;;;;;;403
332;script;https://static.zara.net/stdstatic/1.215.0-b.57/js/v2/bundles/catalog-category-products-category-bundle~catalog-home-bundle~catalog-join-life-detail-bundle~catalo~ac2483d1.js;catalog-category-products-category-bundle~catalog-home-bundle~catalog-join-life-detail-bundle~catalo~ac2483d1.js;;;;;;
333;li;;;;;;Zara;;
334;a;;;;;https://www.zara.com/;Zara;;
335;li;;;;;;/ BAMBINI;;
336;span;;;;;;/;;
337;a;;;;;https://www.zara.com/it/it/bambini-neonato-pantaloni-l524.html;PANTALONI;;
338;a;;;;;https://www.zara.com/it/it/kids-newborn-total-look-l3947.html;TOTAL LOOK;;
339;li;;;;;;SCARPE | SCARPINE;;
340;a;;;;;https://www.zara.com/it/it/bambini-neonato-scarpe-l513.html;SCARPE | SCARPINE;;
341;a;;;;;https://www.zara.com/it/it/bambini-neonato-intimo-l528.html;UNDERWEAR | PIGIAMI;;
342;ul;;;;;;Vedi TuttoPigiamiBodyCalzini | Calze;;
343;a;;;;;https://www.zara.com/it/it/bambini-neonato-intimo-l528.html;Vedi Tutto;;
344;a;;;;;https://www.zara.com/it/it/bambini-neonato-intimo-pigiama-l529.html;Pigiami;;
345;li;;;;;;Body;;
346;a;;;;;https://www.zara.com/it/it/kids-newborn-underwear-bodies-l3966.html;Body;;
347;a;;;;;https://www.zara.com/it/it/vestito-in-felpa-con-mafalda---quino-p09006686.html;VESTITO IN FELPA CON MAFALDA © QUINO;;
348;span;;;;;;VESTITO IN FELPA CON MAFALDA © QUINO;;
349;li;;;;;;NUOVOABITO MIDI CON ELASTICO A FIORI29,95 EUR;;
350;a;;;;;https://www.zara.com/it/it/abito-midi-con-elastico-a-fiori-p06115218.html;;;
351;a;;;;;https://www.zara.com/it/it/abito-midi-con-elastico-a-fiori-p06115218.html;ABITO MIDI CON ELASTICO A FIORI;;
352;span;;;;;;ABITO MIDI CON ELASTICO A FIORI;;
353;li;;;;;;TUTA TESTURIZZATA CON POLSINO25,95 EUR;;
354;a;;;;;https://www.zara.com/it/it/tuta-testurizzata-con-polsino-p02674605.html;;;
355;a;;;;;https://www.zara.com/it/it/tuta-testurizzata-con-polsino-p02674605.html;TUTA TESTURIZZATA CON POLSINO;;
356;span;;;;;;TUTA TESTURIZZATA CON POLSINO;;
357;a;;;;;https://www.zara.com/it/it/uomo-polo-l733.html;POLO;;
358;a;;;;;https://www.zara.com/it/it/uomo-pantaloni-l838.html;PANTALONI;;
359;ul;;;;;;Visualizza TuttoTailoredChinosJoggersCargo Larghi;;
360;a;;;;;https://www.zara.com/it/it/uomo-pantaloni-l838.html;Visualizza Tutto;;
361;li;;;;;;Tailored;;
362;a;;;;;https://www.zara.com/it/it/uomo-pantaloni-formale-l847.html;Tailored;;
363;li;;;;;;Chinos;;
364;a;;;;;https://www.zara.com/it/it/uomo-pantaloni-chino-l845.html;Chinos;;
365;a;;;;;https://www.zara.com/it/it/kids-girl-sweatshirts-jackets-l3227.html;APERTE;;
366;li;;;;;;BASICS;;
367;a;;;;;https://www.zara.com/it/it/kids-babyboy-basics-tshirts-l3933.html;Magliette;;
368;a;;;;;https://www.zara.com/it/it/kids-boy-perfumes-l4040.html;PROFUMI;;
369;a;;;;;https://www.zara.com/it/it/kids-boy-perfumes-l4040.html;Visualizza Tutto;;
370;a;;;;;https://www.zara.com/it/it/kids-boy-perfumes-emotions-l4165.html;Emotions;;
371;a;;;;;https://www.zara.com/it/it/kids-boy-perfumes-licenses-l4166.html;Cartoons;;
372;a;;;;;https://www.zara.com/it/it/kids-boy-perfumes-our-classics-l4167.html;Our Classics;;
373;a;;;;;https://www.zara.com/it/it/bambini-bambino-prezzi-speciali-l263.html;SPECIAL PRICES;;
374;a;;;;;https://www.zara.com/it/it/kids-editorial-10-l313.html;SUMMER COLOURS;;
375;a;;;;;https://www.zara.com/it/it/bambini/bambino-c325501.html;DIVIDER_MENU_2;;
376;a;;;;;https://www.zara.com/it/it/bambini-bambino-join-life-l222.html;JOIN LIFE COLLECTION;;
377;img;https://static.zara.net/photos///2021/V/0/3/p/1355/447/600/2/w/262/1355447600_6_1_1.jpg?ts=1617634152517;1355447600_6_1_1.jpg?ts=1617634152517;;TUTA A FIORI MISTO LINO;;;.jpg;200
378;li;;;;;;ALL PRODUCTS;;
379;a;;;;;https://www.zara.com/it/it/srpls-l1875.html;ALL PRODUCTS;;
380;li;;;;;;ACCESSORIES;;
381;a;;;;;#;ACCESSORIES;;
382;li;;;;;;JOIN LIFEJOIN LIFE COLLEZIONEDONNAUOMOBAMBINIBambinaBambinoNeonataNeonatoMiniIMPEGNIFORNITORIPRODOTTICURA DELL'ABBIGLIAMENTORACCOLTA ABITINEGOZISOSTEGNO ALLA COMUNITÀEARTH HOURRELAZIONE ANNUALE;;
383;a;;;;;https://www.zara.com/it/it/sostenibilita-mkt1449.html;JOIN LIFE;;
384;span;;;;;;JOIN LIFE;;
